experiment_id,model,include_prior_grades,use_interactions,is_interpretable,is_exploratory,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_r2_mean,cv_r2_std,cv_pass_fail_accuracy_mean,cv_pass_fail_accuracy_std,cv_pass_fail_precision_mean,cv_pass_fail_precision_std,cv_pass_fail_recall_mean,cv_pass_fail_recall_std,cv_pass_fail_f1_mean,cv_pass_fail_f1_std,comparison
early_warning__baseline_features,lasso,False,False,True,False,2.7357364527970085,0.2838365719200362,1.989079521826111,0.11328147028229413,0.256597392747147,0.08068601474596544,0.8413237924865831,0.01960859447834612,0.9048952952389955,0.01888216650318807,0.906734437167296,0.011758606645975715,0.9057874878360643,0.014967624601244664,"Early warning, baseline features"
early_warning__with_interactions,lasso,False,True,True,False,2.724994769458987,0.28002865863212295,1.9874914298437223,0.10281407475638545,0.262784102000289,0.07523784494330771,0.8413476446034585,0.027536145515284584,0.9047313687329155,0.02184854508109312,0.9064156402786645,0.019155196137866662,0.9055462918926633,0.019980966718951842,"Early warning, interaction features"
with_prior_grades__baseline_features,lasso,True,False,True,False,1.2772902054444928,0.28103448859807467,0.8249871659626938,0.10834416110054045,0.8409847075094206,0.034561132279400955,0.8798211091234347,0.018548283951927313,0.9855034361922905,0.00814512293379947,0.8707751924873894,0.019923431030582816,0.924460922188764,0.011955885221487317,"Prior grades, baseline features"
with_prior_grades__with_interactions,lasso,True,True,True,False,1.2726901043712964,0.28138911202981554,0.820851087428012,0.10929568328779547,0.8420555987766963,0.03488721870178308,0.8782707215265354,0.01911098675792626,0.9873881987724882,0.007826721482750942,0.8669165725899084,0.019673105824914196,0.9231423577470579,0.013092367974112125,"Prior grades, interaction features"
