feature,importance,absolute_importance,model,experiment_id,include_prior_grades,use_interactions
school_MS,-0.6934424404778795,0.6934424404778795,ridge,early_warning__baseline_features,False,False
school_GP,0.6934424404778738,0.6934424404778738,ridge,early_warning__baseline_features,False,False
Fjob_at_home,0.615369717846893,0.615369717846893,ridge,early_warning__baseline_features,False,False
Mjob_health,0.5807112216109417,0.5807112216109417,ridge,early_warning__baseline_features,False,False
reason_other,-0.5600508487685195,0.5600508487685195,ridge,early_warning__baseline_features,False,False
Fjob_services,-0.4556038402662234,0.4556038402662234,ridge,early_warning__baseline_features,False,False
guardian_other,0.4420001597536056,0.4420001597536056,ridge,early_warning__baseline_features,False,False
reason_reputation,0.43251427457797126,0.43251427457797126,ridge,early_warning__baseline_features,False,False
Mjob_at_home,-0.4311653256923849,0.4311653256923849,ridge,early_warning__baseline_features,False,False
guardian_mother,-0.3710578163872786,0.3710578163872786,ridge,early_warning__baseline_features,False,False
Fjob_health,-0.36607982252087096,0.36607982252087096,ridge,early_warning__baseline_features,False,False
health,-0.32733954539278676,0.32733954539278676,ridge,early_warning__baseline_features,False,False
studytime,0.2997407598861422,0.2997407598861422,ridge,early_warning__baseline_features,False,False
Mjob_other,-0.2824444979101136,0.2824444979101136,ridge,early_warning__baseline_features,False,False
Fedu,0.2800987143021495,0.2800987143021495,ridge,early_warning__baseline_features,False,False
Dalc,-0.24475743015912432,0.24475743015912432,ridge,early_warning__baseline_features,False,False
absences,-0.23679311242564327,0.23679311242564327,ridge,early_warning__baseline_features,False,False
sex_M,-0.23597874930940738,0.23597874930940738,ridge,early_warning__baseline_features,False,False
sex_F,0.23597874930937837,0.23597874930937837,ridge,early_warning__baseline_features,False,False
romantic_no,0.18456938520929797,0.18456938520929797,ridge,early_warning__baseline_features,False,False
romantic_yes,-0.18456938520929211,0.18456938520929211,ridge,early_warning__baseline_features,False,False
paid_no,0.17331036334409172,0.17331036334409172,ridge,early_warning__baseline_features,False,False
paid_yes,-0.17331036334407862,0.17331036334407862,ridge,early_warning__baseline_features,False,False
goout,-0.1715902201067425,0.1715902201067425,ridge,early_warning__baseline_features,False,False
famrel,0.1609133878640306,0.1609133878640306,ridge,early_warning__baseline_features,False,False
Fjob_other,0.15451906178398783,0.15451906178398783,ridge,early_warning__baseline_features,False,False
internet_no,-0.152107206021098,0.152107206021098,ridge,early_warning__baseline_features,False,False
internet_yes,0.15210720602109648,0.15210720602109648,ridge,early_warning__baseline_features,False,False
reason_course,0.14795031299785677,0.14795031299785677,ridge,early_warning__baseline_features,False,False
address_U,0.14278771250365488,0.14278771250365488,ridge,early_warning__baseline_features,False,False
address_R,-0.1427877125035896,0.1427877125035896,ridge,early_warning__baseline_features,False,False
age,0.13438354161709568,0.13438354161709568,ridge,early_warning__baseline_features,False,False
freetime,-0.1293201274774834,0.1293201274774834,ridge,early_warning__baseline_features,False,False
Mjob_teacher,0.10618856953897873,0.10618856953897873,ridge,early_warning__baseline_features,False,False
activities_no,-0.08871496760743974,0.08871496760743974,ridge,early_warning__baseline_features,False,False
activities_yes,0.08871496760743842,0.08871496760743842,ridge,early_warning__baseline_features,False,False
famsize_LE3,0.08652337160221348,0.08652337160221348,ridge,early_warning__baseline_features,False,False
famsize_GT3,-0.08652337160220867,0.08652337160220867,ridge,early_warning__baseline_features,False,False
Pstatus_A,0.07293513331832373,0.07293513331832373,ridge,early_warning__baseline_features,False,False
Pstatus_T,-0.07293513331826326,0.07293513331826326,ridge,early_warning__baseline_features,False,False
guardian_father,-0.07094234336648446,0.07094234336648446,ridge,early_warning__baseline_features,False,False
nursery_yes,-0.05420679174256654,0.05420679174256654,ridge,early_warning__baseline_features,False,False
nursery_no,0.05420679174253228,0.05420679174253228,ridge,early_warning__baseline_features,False,False
Fjob_teacher,0.05179488315556385,0.05179488315556385,ridge,early_warning__baseline_features,False,False
Mjob_services,0.026710032452831996,0.026710032452831996,ridge,early_warning__baseline_features,False,False
traveltime,-0.022417538620040166,0.022417538620040166,ridge,early_warning__baseline_features,False,False
Medu,-0.020415991109801995,0.020415991109801995,ridge,early_warning__baseline_features,False,False
reason_home,-0.02041373880780262,0.02041373880780262,ridge,early_warning__baseline_features,False,False
Walc,-0.006652144094710791,0.006652144094710791,ridge,early_warning__baseline_features,False,False
famsup_yes,-0.002466318426521641,0.002466318426521641,ridge,early_warning__baseline_features,False,False
